,time (ns GMT),channel,video_ts,format,size,ssim_index,cwnd,in_flight,min_rtt,rtt,delivery_rate,buffer,cum_rebuf,time (ns GMT) acked,abr,cc,day,session,time_sent,time_acked,trans_time,throughput,rebuf,ssim,formats,sizes,qualities,duration
1462469,1606190688670000000,cbs,26091505440,426x240-26,68508,0.829564,13,0,65598,173121,22134,0.0,0.0,1.606190688976e+18,bola_basic_v1,bbr,2020-11-23,2020-11-23_+lqFvDFc4Fd5TU1YanDuOHM/qPUAu5T48POEMZ0peQE=_0,0.0,0.305999872,0.305999872,223882.4465913502,0.0,7.684386669047722,"('426x240-26', '640x360-24', '854x480-26', '854x480-24', '1280x720-26', '1280x720-24', '1280x720-22', '1280x720-20', '1920x1080-24', '1920x1080-22')","(68508, 189158, 230797, 314695, 471538, 661289, 960542, 1422191, 1550024, 2278758)","(0.829564, 0.887064, 0.898222, 0.914448, 0.927661, 0.940395, 0.950418, 0.95859, 0.95818, 0.966012)",2.002
1462470,1606190688976000000,cbs,26091685620,426x240-26,28235,0.902464,49,0,47620,101086,325693,0.0,0.0,1.606190689109e+18,bola_basic_v1,bbr,2020-11-23,2020-11-23_+lqFvDFc4Fd5TU1YanDuOHM/qPUAu5T48POEMZ0peQE=_0,0.306,0.438999808,0.132999936,212293.33523889814,0.0,10.108350590125312,"('426x240-26', '640x360-24', '854x480-26', '854x480-24', '1280x720-26', '1280x720-24', '1280x720-22', '1280x720-20', '1920x1080-24', '1920x1080-22')","(28235, 72857, 87314, 116739, 169172, 237105, 344528, 520539, 601325, 934586)","(0.902464, 0.938331, 0.944989, 0.953267, 0.960379, 0.966973, 0.972296, 0.976457, 0.976172, 0.980251)",2.002
1462471,1606190689109000000,cbs,26091865800,426x240-26,8150,0.955108,49,0,47620,95284,325693,1.065,0.0,1.606190689184e+18,bola_basic_v1,bbr,2020-11-23,2020-11-23_+lqFvDFc4Fd5TU1YanDuOHM/qPUAu5T48POEMZ0peQE=_0,0.439,0.513999872,0.075000064,108666.5739378569,0.0,13.478310457541697,"('426x240-26', '640x360-24', '854x480-26', '854x480-24', '1280x720-26', '1280x720-24', '1280x720-22', '1280x720-20', '1920x1080-24', '1920x1080-22')","(8150, 13784, 15933, 18850, 25709, 32022, 45691, 74292, 118638, 215283)","(0.955108, 0.973972, 0.976975, 0.979571, 0.982191, 0.983958, 0.985462, 0.986935, 0.987754, 0.989036)",2.002
1462472,1606190689185000000,cbs,26092045980,426x240-26,29629,0.966786,49,15,47620,76910,325693,2.992,0.455,1.606190689589e+18,bola_basic_v1,bbr,2020-11-23,2020-11-23_+lqFvDFc4Fd5TU1YanDuOHM/qPUAu5T48POEMZ0peQE=_0,0.515,0.918999808,0.404,73339.10891089108,0.455,14.78678818670864,"('426x240-26', '640x360-24', '854x480-26', '854x480-24', '1280x720-26', '1280x720-24', '1280x720-22', '1280x720-20', '1920x1080-24', '1920x1080-22')","(29629, 64462, 79145, 100766, 147707, 194143, 259169, 357548, 448561, 638517)","(0.966786, 0.975606, 0.976255, 0.978288, 0.979198, 0.981085, 0.982913, 0.984468, 0.984744, 0.986601)",2.002
1462473,1606190689589000000,cbs,26092226160,426x240-26,23998,0.969997,49,0,47620,155971,385784,4.949,0.455,1.60619068975e+18,bola_basic_v1,bbr,2020-11-23,2020-11-23_+lqFvDFc4Fd5TU1YanDuOHM/qPUAu5T48POEMZ0peQE=_0,0.919,1.08,0.161000192,149055.72286522493,0.0,15.228353180034748,"('426x240-26', '640x360-24', '854x480-26', '854x480-24', '1280x720-26', '1280x720-24', '1280x720-22', '1280x720-20', '1920x1080-24', '1920x1080-22')","(23998, 51640, 61596, 78108, 112259, 145746, 199041, 283850, 362000, 543149)","(0.969997, 0.978369, 0.978893, 0.980932, 0.981734, 0.983547, 0.98502, 0.986178, 0.98622, 0.987694)",2.002
1462474,1606190689750000000,cbs,26092406340,426x240-26,26950,0.972016,49,28,47620,117183,385784,6.764,0.455,1.60619069014e+18,bola_basic_v1,bbr,2020-11-23,2020-11-23_+lqFvDFc4Fd5TU1YanDuOHM/qPUAu5T48POEMZ0peQE=_0,1.08,1.469999872,0.389999872,69102.58678238746,0.0,15.530902078653986,"('426x240-26', '640x360-24', '854x480-26', '854x480-24', '1280x720-26', '1280x720-24', '1280x720-22', '1280x720-20', '1920x1080-24', '1920x1080-22')","(26950, 57528, 71087, 89574, 133796, 170968, 230778, 325135, 447548, 645849)","(0.972016, 0.978849, 0.979231, 0.980858, 0.981087, 0.982754, 0.984123, 0.985304, 0.985484, 0.986992)",2.002
1462475,1606190690141000000,cbs,26092586520,426x240-26,20689,0.968518,49,0,47620,247856,385784,8.376,0.455,1.606190690253e+18,bola_basic_v1,bbr,2020-11-23,2020-11-23_+lqFvDFc4Fd5TU1YanDuOHM/qPUAu5T48POEMZ0peQE=_0,1.471,1.582999808,0.112,184723.2142857143,0.0,15.019376854180173,"('426x240-26', '640x360-24', '854x480-26', '854x480-24', '1280x720-26', '1280x720-24', '1280x720-22', '1280x720-20', '1920x1080-24', '1920x1080-22')","(20689, 43173, 52191, 65761, 93348, 120714, 165769, 241395, 313760, 491214)","(0.968518, 0.977484, 0.978426, 0.980372, 0.981404, 0.98297, 0.984323, 0.985378, 0.985652, 0.987117)",2.002
1462476,1606190690253000000,cbs,26092766700,1280x720-26,42144,0.979443,49,0,47620,135481,385784,10.264,0.455,1.606190690433e+18,bola_basic_v1,bbr,2020-11-23,2020-11-23_+lqFvDFc4Fd5TU1YanDuOHM/qPUAu5T48POEMZ0peQE=_0,1.583,1.762999808,0.18,234133.33333333334,0.0,16.870402641178934,"('426x240-26', '640x360-24', '854x480-26', '854x480-24', '1280x720-26', '1280x720-24', '1280x720-22', '1280x720-20', '1920x1080-24', '1920x1080-22')","(9886, 20439, 23347, 29944, 42144, 57377, 84016, 135365, 166478, 298224)","(0.945536, 0.965792, 0.971542, 0.974145, 0.979443, 0.98184, 0.983611, 0.985405, 0.987136, 0.988487)",2.002
1462477,1606190690433000000,cbs,26092946880,1280x720-26,60293,0.984409,49,27,47620,111038,385784,12.086,0.455,1.606190690736e+18,bola_basic_v1,bbr,2020-11-23,2020-11-23_+lqFvDFc4Fd5TU1YanDuOHM/qPUAu5T48POEMZ0peQE=_0,1.763,2.065999872,0.303000064,198986.75664966195,0.0,18.071260284574777,"('426x240-26', '640x360-24', '854x480-26', '854x480-24', '1280x720-26', '1280x720-24', '1280x720-22', '1280x720-20', '1920x1080-24', '1920x1080-22')","(16092, 31179, 35612, 43998, 60293, 76708, 101415, 146071, 164727, 247979)","(0.957187, 0.973299, 0.978487, 0.98036, 0.984409, 0.986102, 0.987441, 0.988688, 0.990074, 0.991034)",2.002
1462478,1606190690736000000,cbs,26093127060,1280x720-24,228797,0.986763,49,0,47620,199104,385784,13.791,0.455,1.606190691577e+18,bola_basic_v1,bbr,2020-11-23,2020-11-23_+lqFvDFc4Fd5TU1YanDuOHM/qPUAu5T48POEMZ0peQE=_0,2.066,2.906999808,0.840999936,272053.52843213535,0.0,18.782104311407018,"('426x240-26', '640x360-24', '854x480-26', '854x480-24', '1280x720-26', '1280x720-24', '1280x720-22', '1280x720-20', '1920x1080-24', '1920x1080-22')","(36481, 79029, 95418, 118840, 175224, 228797, 307424, 425670, 606496, 816837)","(0.96635, 0.97851, 0.981008, 0.982667, 0.985241, 0.986763, 0.98816, 0.989241, 0.990505, 0.991673)",2.002
1462479,1606190691578000000,cbs,26093307240,1280x720-22,336303,0.988171,49,49,47620,285989,232085,14.946,0.455,1.606190693414e+18,bola_basic_v1,bbr,2020-11-23,2020-11-23_+lqFvDFc4Fd5TU1YanDuOHM/qPUAu5T48POEMZ0peQE=_0,2.908,4.744,1.836000256,183171.54308719226,0.0,19.270519682071154,"('426x240-26', '640x360-24', '854x480-26', '854x480-24', '1280x720-26', '1280x720-24', '1280x720-22', '1280x720-20', '1920x1080-24', '1920x1080-22')","(42616, 91077, 107374, 135778, 195978, 252205, 336303, 454860, 590311, 783751)","(0.963837, 0.977415, 0.980285, 0.982402, 0.985052, 0.986693, 0.988171, 0.98941, 0.990418, 0.991771)",2.002
1462480,1606190693621000000,cbs,26093487420,1920x1080-22,631189,0.988801,32,0,47620,131883,285990,14.906,0.455,1.606190696402e+18,bola_basic_v1,bbr,2020-11-23,2020-11-23_+lqFvDFc4Fd5TU1YanDuOHM/qPUAu5T48POEMZ0peQE=_0,4.951,7.731999744,2.780999936,226964.7661005915,0.0,19.508207553540345,"('426x240-26', '640x360-24', '854x480-26', '854x480-24', '1280x720-26', '1280x720-24', '1280x720-22', '1280x720-20', '1920x1080-24', '1920x1080-22')","(34684, 73683, 86636, 108361, 152230, 195592, 259531, 354571, 454400, 631189)","(0.942411, 0.965471, 0.971448, 0.974623, 0.979771, 0.982159, 0.984139, 0.985885, 0.987137, 0.988801)",2.002
1462481,1606190696402000000,cbs,26093667600,1280x720-26,229518,0.985923,30,30,47620,197419,164368,14.127,0.455,1.606190697251e+18,bola_basic_v1,bbr,2020-11-23,2020-11-23_+lqFvDFc4Fd5TU1YanDuOHM/qPUAu5T48POEMZ0peQE=_0,7.732,8.580999936,0.849000192,270339.1614780695,0.0,18.51489889389001,"('426x240-26', '640x360-24', '854x480-26', '854x480-24', '1280x720-26', '1280x720-24', '1280x720-22', '1280x720-20', '1920x1080-24', '1920x1080-22')","(44958, 101627, 121960, 156414, 229518, 303388, 405459, 551610, 809988, 1061005)","(0.964829, 0.977803, 0.981285, 0.983133, 0.985923, 0.987239, 0.988442, 0.989385, 0.990992, 0.992217)",2.002
1462482,1606190697620000000,cbs,26093847780,1920x1080-22,1572238,0.98159,36,0,47620,84884,392275,14.91,0.455,1.606190702391e+18,bola_basic_v1,bbr,2020-11-23,2020-11-23_+lqFvDFc4Fd5TU1YanDuOHM/qPUAu5T48POEMZ0peQE=_0,8.95,13.720999936,4.771000064,329540.5531145262,0.0,17.349462114959845,"('426x240-26', '640x360-24', '854x480-26', '854x480-24', '1280x720-26', '1280x720-24', '1280x720-22', '1280x720-20', '1920x1080-24', '1920x1080-22')","(95308, 205954, 247942, 311001, 452753, 578653, 754798, 998171, 1198650, 1572238)","(0.923714, 0.948298, 0.952643, 0.957659, 0.963899, 0.968258, 0.972251, 0.975737, 0.978355, 0.98159)",2.002
1462483,1606190702394000000,cbs,26094027960,1920x1080-22,1525787,0.984132,36,0,47620,149626,336747,12.14,0.455,1.606190707056e+18,bola_basic_v1,bbr,2020-11-23,2020-11-23_+lqFvDFc4Fd5TU1YanDuOHM/qPUAu5T48POEMZ0peQE=_0,13.724,18.385999872,4.662000128,327281.62979578535,0.0,17.994778081978872,"('426x240-26', '640x360-24', '854x480-26', '854x480-24', '1280x720-26', '1280x720-24', '1280x720-22', '1280x720-20', '1920x1080-24', '1920x1080-22')","(89222, 200677, 239893, 303993, 447687, 577489, 754199, 1004997, 1174457, 1525787)","(0.936439, 0.956447, 0.959973, 0.963978, 0.968653, 0.972261, 0.975544, 0.978496, 0.981511, 0.984132)",2.002
1462484,1606190707057000000,cbs,26094208140,1280x720-26,130573,0.983397,32,28,47620,148755,308065,9.493,0.455,1.606190707557e+18,bola_basic_v1,bbr,2020-11-23,2020-11-23_+lqFvDFc4Fd5TU1YanDuOHM/qPUAu5T48POEMZ0peQE=_0,18.387,18.886999808,0.5,261146.0,0.0,17.798134320967236,"('426x240-26', '640x360-24', '854x480-26', '854x480-24', '1280x720-26', '1280x720-24', '1280x720-22', '1280x720-20', '1920x1080-24', '1920x1080-22')","(36385, 73495, 82877, 104302, 130573, 169030, 229564, 328998, 433776, 645850)","(0.948879, 0.969433, 0.975595, 0.978352, 0.983397, 0.985268, 0.986791, 0.988083, 0.989339, 0.990678)",2.002
