time (ns GMT),channel,video_ts,format,size,ssim_index,cwnd,in_flight,min_rtt,rtt,delivery_rate,buffer,cum_rebuf,time (ns GMT) acked,buffer acked,abr,cc,day,session,time_sent,time_acked,trans_time,throughput,rebuf,ssim,formats,sizes,qualities,duration
1672945234566000000,cbs,166941634860,426x240-26,24051,0.883997,14,0,12723,20301,148140,0.0,0.0,1.672945234629e+18,2.002,fugu_variant_cl3,bbr,2023-01-05,2023-01-05_+191NigWAg9/vIFUn7isPQl5gz+gaqz9OuuxSGHv8CQ=_0,0.0,0.062999808,0.062999808,381763.0682303032,0.0,9.35530779164475,"('426x240-26', '640x360-24', '854x480-26', '854x480-24', '1280x720-26', '1280x720-24', '1280x720-22', '1280x720-20', '1920x1080-24', '1920x1080-22')","(24051, 73939, 82177, 115883, 168939, 242458, 349132, 502485, 588107, 875425)","(0.883997, 0.91874, 0.925897, 0.935472, 0.945315, 0.953822, 0.961193, 0.967335, 0.968623, 0.974293)",2.002
1672945234650000000,cbs,166941815040,1920x1080-24,692159,0.971347,38,0,9693,17155,1434184,2.002,0.0,1.672945234754e+18,4.004,fugu_variant_cl3,bbr,2023-01-05,2023-01-05_+191NigWAg9/vIFUn7isPQl5gz+gaqz9OuuxSGHv8CQ=_0,0.084,0.187999744,0.104,6655375.0,0.0,15.428299002153803,"('426x240-26', '640x360-24', '854x480-26', '854x480-24', '1280x720-26', '1280x720-24', '1280x720-22', '1280x720-20', '1920x1080-24', '1920x1080-22')","(32936, 89059, 102679, 140660, 203628, 285415, 404765, 576115, 692159, 1000459)","(0.891346, 0.926391, 0.933746, 0.94177, 0.95098, 0.958176, 0.964375, 0.969441, 0.971347, 0.976203)",2.002
1672945234758000000,cbs,166941995220,1920x1080-22,1111901,0.984563,400,0,8608,16150,11918143,4.004,0.095,1.672945234832e+18,6.006,fugu_variant_cl3,bbr,2023-01-05,2023-01-05_+191NigWAg9/vIFUn7isPQl5gz+gaqz9OuuxSGHv8CQ=_0,0.192,0.265999872,0.073999872,15025715.179615447,0.095,18.114370958420935,"('426x240-26', '640x360-24', '854x480-26', '854x480-24', '1280x720-26', '1280x720-24', '1280x720-22', '1280x720-20', '1920x1080-24', '1920x1080-22')","(56752, 134751, 159385, 207840, 285764, 372105, 491523, 658612, 830790, 1111901)","(0.928883, 0.955414, 0.962278, 0.966035, 0.972003, 0.975126, 0.977775, 0.980041, 0.982234, 0.984563)",2.002
1672945234836000000,cbs,166942175400,1920x1080-22,695141,0.985277,505,1,8608,23743,16980693,6.006,0.095,1.67294523491e+18,7.91,fugu_variant_cl3,bbr,2023-01-05,2023-01-05_+191NigWAg9/vIFUn7isPQl5gz+gaqz9OuuxSGHv8CQ=_0,0.27,0.344,0.074000128,9393781.048594942,0.0,18.320036879131184,"('426x240-26', '640x360-24', '854x480-26', '854x480-24', '1280x720-26', '1280x720-24', '1280x720-22', '1280x720-20', '1920x1080-24', '1920x1080-22')","(39773, 88337, 102816, 133833, 175559, 228784, 300866, 406536, 496343, 695141)","(0.917597, 0.949936, 0.95929, 0.963603, 0.972129, 0.97526, 0.978152, 0.980386, 0.983146, 0.985277)",2.002
1672945234914000000,cbs,166942355580,1280x720-24,184436,0.990633,563,0,8608,21220,24735359,7.91,0.095,1.672945234948e+18,9.865,fugu_variant_cl3,bbr,2023-01-05,2023-01-05_+191NigWAg9/vIFUn7isPQl5gz+gaqz9OuuxSGHv8CQ=_0,0.348,0.381999872,0.034000128,5424567.813391762,0.0,20.283994797699407,"('426x240-26', '640x360-24', '854x480-26', '854x480-24', '1280x720-26', '1280x720-24', '1280x720-22', '1280x720-20', '1920x1080-24', '1920x1080-22')","(40236, 79832, 88632, 108222, 149083, 184436, 243070, 330412, 374305, 513849)","(0.96898, 0.982031, 0.984763, 0.986402, 0.989517, 0.990633, 0.991594, 0.992399, 0.993128, 0.99393)",2.002
1672945234952000000,cbs,166942535760,854x480-26,36731,0.990416,563,28,8608,19158,3212542,9.865,0.095,1.672945234976e+18,11.867,fugu_variant_cl3,bbr,2023-01-05,2023-01-05_+191NigWAg9/vIFUn7isPQl5gz+gaqz9OuuxSGHv8CQ=_0,0.386,0.409999872,0.024,1530458.3333333333,0.0,20.184531949547623,"('426x240-26', '640x360-24', '854x480-26', '854x480-24', '1280x720-26', '1280x720-24', '1280x720-22', '1280x720-20', '1920x1080-24', '1920x1080-22')","(17918, 32591, 36731, 45292, 62188, 83627, 125845, 208327, 284186, 454176)","(0.984054, 0.989213, 0.990416, 0.991197, 0.992164, 0.992812, 0.993331, 0.993657, 0.99404, 0.994569)",2.002
1672945234980000000,cbs,166942715940,1920x1080-22,931573,0.97191,563,0,8608,17980,3395202,11.867,0.095,1.672945235037e+18,13.822,fugu_variant_cl3,bbr,2023-01-05,2023-01-05_+191NigWAg9/vIFUn7isPQl5gz+gaqz9OuuxSGHv8CQ=_0,0.414,0.470999808,0.056999936,16343404.315401336,0.0,15.514482607984228,"('426x240-26', '854x480-26', '640x360-24', '854x480-24', '1280x720-26', '1280x720-24', '1280x720-22', '1280x720-20', '1920x1080-24', '1920x1080-22')","(47025, 105267, 111341, 141893, 191252, 262120, 376139, 561238, 623612, 931573)","(0.830618, 0.903991, 0.894824, 0.918936, 0.937054, 0.948574, 0.957647, 0.964796, 0.965356, 0.97191)",2.002
1672945235041000000,cbs,166942896120,1920x1080-22,1371060,0.973382,815,0,8608,21336,31029728,13.822,0.095,1.67294523511e+18,15.731,fugu_variant_cl3,bbr,2023-01-05,2023-01-05_+191NigWAg9/vIFUn7isPQl5gz+gaqz9OuuxSGHv8CQ=_0,0.475,0.544,0.069000192,19870379.491117936,0.0,15.748245792743646,"('426x240-26', '640x360-24', '854x480-26', '854x480-24', '1280x720-26', '1280x720-24', '1280x720-22', '1280x720-20', '1920x1080-24', '1920x1080-22')","(72925, 174984, 199074, 259760, 352741, 463219, 622791, 858437, 980060, 1371060)","(0.85462, 0.91086, 0.923081, 0.933811, 0.94644, 0.954858, 0.961739, 0.967219, 0.968272, 0.973382)",2.002
1672945235456000000,abc,156087411480,1280x720-24,187645,0.981025,815,0,8608,27232,88228,0.0,0.0,1.672945235491e+18,2.002,fugu_variant_cl3,bbr,2023-01-05,2023-01-05_+191NigWAg9/vIFUn7isPQl5gz+gaqz9OuuxSGHv8CQ=_1,0.89,0.924999936,0.035000064,5361275.910809764,0.0,17.21818215432483,"('426x240-26', '640x360-26', '640x360-24', '854x480-26', '854x480-24', '854x480-22', '1280x720-26', '1280x720-24', '1280x720-22', '1280x720-20')","(24836, 44033, 55132, 65704, 83620, 109166, 137186, 187645, 269112, 399184)","(0.929711, 0.952852, 0.95825, 0.964529, 0.969009, 0.972665, 0.977447, 0.981025, 0.984101, 0.986711)",2.002
1672945235494000000,abc,156087591660,1280x720-20,313309,0.988161,816,0,8608,25001,68955,2.002,0.0,1.67294523553e+18,4.004,fugu_variant_cl3,bbr,2023-01-05,2023-01-05_+191NigWAg9/vIFUn7isPQl5gz+gaqz9OuuxSGHv8CQ=_1,0.928,0.963999744,0.035999744,8703089.666415406,0.0,19.266849794393707,"('426x240-26', '640x360-26', '640x360-24', '854x480-26', '854x480-24', '854x480-22', '1280x720-26', '1280x720-24', '1280x720-22', '1280x720-20')","(22924, 38516, 48996, 57195, 72342, 92599, 117864, 157787, 215037, 313309)","(0.927119, 0.953821, 0.959068, 0.966254, 0.970639, 0.973683, 0.980834, 0.983824, 0.986144, 0.988161)",2.002
